tpl_uuid,repo_url
89921def121b431ea73a93ab33797bfd,https://github.com/ARM-software/CMSIS-FreeRTOS.git
afc3a9160274403b8bdb541d883d43c4,https://github.com/ARM-software/CMSIS.git
8fcfda808e7e482b878262bd0dd6620d,https://github.com/armink/FreeModbus_Slave-Master-RTT-STM32.git
218ef93e6cc84eb7b20e7a7610c61266,https://github.com/ARMmbed/mbedtls.git
e7324e720e284ccf9d25ca2f23d54936,https://github.com/ArtifexSoftware/jbig2dec.git
f28bb2c4ef4f46e8a878529d2220d345,https://github.com/ArtifexSoftware/mupdf.git
52a456f1d32546f4a2ab1bb9203e91ea,https://github.com/arut/nginx-ts-module.git
eaafdcf0640d49ce9fd40ae62c191841,https://github.com/arvidn/libtorrent.git
5909605e25c342a28409bad7c7941082,https://github.com/arximboldi/immer.git
da96ce0bdcd44845a602dec1bf971e14,https://github.com/assimp/assimp.git
54226c4ae0f94f7887cfd84fd47432d2,https://github.com/asterisk/asterisk.git
8d5464f1ef674b9ab30bc3f5758f0d33,https://github.com/atari800/atari800.git
e1498d3863994c21a8ba5f8e59ccfd8a,https://github.com/atheme/libmowgli-2.git
e7d94eda5a544c2899434ef1e2aa7c4d,https://github.com/atomicobject/heatshrink.git
e81fdf4bcd5d404fa419e071dda15946,https://github.com/att/ast.git
3c95306490104d528372d2937a577228,https://github.com/attractivechaos/klib.git
77fa0193327e4a7aa21340e85d837314,https://github.com/aubio/aubio.git
f84c385c207f485f856317fdf2b8913b,https://github.com/audacity/audacity.git
db88f97bfe11408d92578e69f2f68259,https://github.com/autotools-mirror/libtool.git
99aaa2457f4d454fb635df6600e3741e,https://github.com/Avamander/arduino-tvout.git
3db770429de4490d942bc878848a4214,https://github.com/avast/retdec.git
9adb01d75c8245b8ac0f074553268dd2,https://github.com/aws/aws-iot-device-sdk-embedded-C.git
33d7c3d0506046ce80366b0bde7fa03f,https://github.com/aws/aws-sdk-cpp.git
bbb98860fee9498b920bd2975f36502d,https://github.com/axiomatic-systems/Bento4.git
0bb16e96fdd04c94a98a7edeb7381282,https://github.com/Axosoft/nsfw.git
